ns,t0,t1,std_t0,std_t1
1000,0.4116,0.6904,0.040042976912312594,0.014291256067959836
10000,0.41736,0.69308,0.03752612956327897,0.007607207109051247
25000,0.433608,0.691936,0.024642719330463515,0.003084059662198513
50000,0.445328,0.692176,0.005885203140079369,0.0009530918108975631
75000,0.45058133333333333,0.6931893333333333,0.007165604758536138,0.0026479395763499072
100000,0.445532,0.695118,0.011361759370801703,0.0011441573318386042
